SpecialSymbolsCount;WordsCount;SymbolCount;lowercase;uppercase;LastSymbolPd;FirstKeyWord;PrevElementMark;CurElementMark;NextElementMark;FullBold;FullItalic;Alignment;KeepLinesTogether;KeepWithNext;1Indentation;LineSpacing;NoSpaceBetweenParagraphsOfSameStyle;OutlineLevel;PageBreakBefore;RightIndentation;SpaceAfter;SpaceBefore;SpecialIndentation
0;1;8;0;0;3;0;0;1;0;1;0;2;0;1;0;1.5;0;1;0;0;0;0;-35.45
9;48;386;0;0;0;6;1;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
12;67;535;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
11;54;405;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
1;5;37;0;0;1;6;0;0;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;30;275;0;0;0;6;2;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;20;158;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
8;33;286;0;0;0;6;0;0;0;0;0;3;0;1;0;1.5;0;2;0;0;0;0;-35.45
1;8;69;0;0;1;6;0;0;2;1;0;3;0;1;0;1.5;0;2;0;0;0;0;-35.45
2;4;30;1;0;2;1;0;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;4;30;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;8;60;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;9;66;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;24;1;0;2;1;2;2;2;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
2;3;22;1;0;0;1;2;2;1;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;11;82;0;1;3;0;2;1;3;1;0;2;0;1;0;1.5;0;1;0;0;0;0;-35.45
4;5;55;0;0;3;2;1;3;0;0;0;3;0;0;53.45;1.5;1;0;0;0;10;0;-35.45
9;34;279;0;0;0;6;3;0;0;0;0;3;0;0;5.25;1.5;0;0;0;0;0;0;-35.45
9;18;126;0;0;3;6;0;0;0;0;0;3;0;0;5.25;1.5;0;0;0;0;0;0;-35.45
1;10;82;0;0;0;6;0;0;0;0;0;3;0;0;5.25;1.5;0;0;0;0;0;0;-35.45
8;34;251;0;0;0;6;0;0;0;0;0;3;0;0;5.25;1.5;0;0;0;0;0;0;-35.45
1;18;120;0;0;1;6;0;0;4;0;0;3;0;0;5.25;1.5;0;0;0;0;0;0;-35.45
1;17;106;0;0;3;3;4;5;0;0;0;3;0;0;5.25;1.5;0;0;0;0;0;0;-35.45
13;60;493;0;0;0;6;5;0;0;0;0;3;0;1;0;1.5;0;2;0;0;0;0;-35.45
2;14;129;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
4;17;118;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
3;16;121;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
14;50;358;0;0;0;6;0;0;0;0;0;3;0;0;0;1.5;0;0;0;0;0;0;-35.45
