iter	MultiClass
0	1.13420466
1	0.8422499047
2	0.684007862
3	0.3988358167
4	0.3048393183
5	0.2397151637
6	0.2308785998
7	0.2145986713
8	0.1995421807
9	0.1941626541
10	0.1705963531
11	0.1673543314
12	0.1656688187
13	0.1633958986
14	0.1619444055
15	0.160352883
16	0.1595538537
17	0.1505878764
18	0.1465455662
19	0.1419469004
20	0.133883336
21	0.1220458253
22	0.1163201133
23	0.1139762695
24	0.1098240792
25	0.1089339417
26	0.106896565
27	0.1044741179
28	0.1043810151
29	0.1029591476
30	0.09745129462
31	0.09465770826
32	0.09311797691
33	0.09203535864
34	0.08912089925
35	0.08870495617
36	0.08810372238
37	0.08739494348
38	0.08341377277
39	0.08239314043
40	0.08206048915
41	0.08154937265
42	0.08148628423
43	0.07873664919
44	0.07709146182
45	0.07695945562
46	0.07657398289
47	0.07632162541
48	0.07631767264
49	0.07310918609
