iter	Passed	Remaining
0	153	7542
1	168	4045
2	185	2898
3	199	2297
4	258	2330
5	275	2022
6	292	1796
7	336	1766
8	353	1610
9	460	1840
10	491	1741
11	568	1801
12	630	1795
13	694	1786
14	725	1692
15	803	1707
16	840	1630
17	871	1548
18	891	1454
19	925	1387
20	942	1301
21	968	1232
22	986	1158
23	1000	1084
24	1062	1062
25	1103	1018
26	1122	956
27	1166	916
28	1179	853
29	1195	796
30	1213	743
31	1276	718
32	1339	690
33	1402	660
34	1477	633
35	1489	579
36	1509	530
37	1588	501
38	1658	467
39	1672	418
40	1701	373
41	1735	330
42	1760	286
43	1774	241
44	1811	201
45	1826	158
46	1882	120
47	1901	79
48	1920	39
49	1939	0
