SpecialSymbolsCount;WordsCount;SymbolCount;lowercase;uppercase;LastSymbolPd;FirstKeyWord;PrevElementMark;CurElementMark;NextElementMark;FullBold;FullItalic;KeepLinesTogether;KeepWithNext;NoSpaceBetweenParagraphsOfSameStyle;OutlineLevel;PageBreakBefore
0;1;8;ЛОЖЬ;ЛОЖЬ;;;c0;b1;c0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level1;ЛОЖЬ
9;48;386;ЛОЖЬ;ЛОЖЬ;.;;b1;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
12;67;535;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
11;54;405;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
1;5;37;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
4;30;275;ЛОЖЬ;ЛОЖЬ;.;;d0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;20;158;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
8;33;286;ЛОЖЬ;ЛОЖЬ;.;;c0;c0;c0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level2;ЛОЖЬ
1;8;69;ЛОЖЬ;ЛОЖЬ;:;;c0;c0;d0;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level2;ЛОЖЬ
2;4;30;ИСТИНА;ЛОЖЬ;-;listLevel1;c0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;4;30;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;8;60;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;9;66;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;24;ИСТИНА;ЛОЖЬ;-;listLevel1;d0;d0;d0;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
2;3;22;ИСТИНА;ЛОЖЬ;.;listLevel1;d0;d0;b1;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;ЛОЖЬ;BodyText;ЛОЖЬ
3;11;82;ЛОЖЬ;ИСТИНА;;TitleLevel1;d0;b1;b23;ИСТИНА;ЛОЖЬ;ЛОЖЬ;ИСТИНА;ЛОЖЬ;Level1;ЛОЖЬ
